student_id,studytime,absences,G1,G2,age,failures,famsup,internet,sex,paid,activities,performance
1,2,6,5,6,18,0,no,no,F,no,no,0
2,2,4,5,5,17,0,yes,yes,F,no,no,0
3,2,10,7,8,15,3,no,yes,F,yes,no,1
4,3,2,15,14,15,0,yes,yes,F,yes,yes,1
5,2,4,6,10,16,0,yes,no,F,yes,no,1
6,2,10,15,15,16,0,yes,yes,M,yes,yes,1
7,2,0,12,12,16,0,no,yes,M,no,no,1
8,2,6,6,5,17,0,yes,no,F,no,no,0
9,2,0,16,18,15,0,yes,yes,M,yes,no,1
10,2,0,14,15,15,0,yes,yes,M,yes,yes,1
11,2,0,10,8,15,0,yes,yes,F,yes,no,0
12,3,4,10,12,15,0,yes,yes,F,no,yes,1
13,1,2,14,14,15,0,yes,yes,M,yes,yes,1
14,2,2,10,10,15,0,yes,yes,M,yes,no,1
15,3,0,14,16,15,0,yes,yes,M,no,no,1
16,1,4,14,14,16,0,yes,yes,F,no,no,1
17,3,6,13,14,16,0,yes,yes,F,yes,yes,1
18,2,4,8,10,16,0,yes,no,F,no,yes,1
19,1,16,6,5,17,3,yes,yes,M,no,yes,0
20,1,4,8,10,16,0,no,yes,M,yes,yes,1
21,2,0,13,14,15,0,no,yes,M,no,no,1
22,1,0,12,15,15,0,yes,yes,M,yes,no,1
23,2,2,15,15,16,0,no,yes,M,no,yes,1
24,2,0,13,13,16,0,yes,yes,M,no,yes,1
25,3,2,10,9,15,0,yes,yes,F,yes,yes,0
26,1,14,6,9,16,2,yes,yes,F,yes,no,0
27,1,2,12,12,15,0,yes,yes,M,yes,no,1
28,1,4,15,16,15,0,no,yes,M,yes,no,1
29,2,4,11,11,16,0,yes,yes,M,no,yes,1
30,2,16,10,12,16,0,yes,yes,M,yes,yes,1
31,2,0,9,11,15,0,yes,yes,M,yes,no,1
32,2,0,17,16,15,0,yes,yes,M,no,yes,1
33,2,0,17,16,15,0,yes,yes,M,no,yes,1
34,2,0,8,10,15,0,no,yes,M,no,yes,1
35,1,0,12,14,16,0,yes,yes,M,yes,no,1
36,1,0,8,7,15,0,yes,no,F,no,yes,0
37,3,2,15,16,15,0,yes,yes,M,no,yes,1
38,3,7,15,16,16,0,yes,yes,M,no,yes,1
39,3,2,12,12,15,0,yes,yes,F,yes,yes,1
40,1,8,14,13,15,0,yes,no,F,yes,yes,1
41,2,25,7,10,16,1,yes,yes,F,no,yes,1
42,1,8,12,12,15,0,yes,yes,M,no,no,1
43,2,2,19,18,15,0,yes,yes,M,no,yes,1
44,1,0,8,8,15,0,yes,yes,M,no,no,1
45,2,14,10,10,16,1,no,yes,F,no,yes,0
46,2,8,8,8,15,0,yes,yes,F,yes,yes,0
47,2,12,11,12,16,0,yes,yes,F,no,no,1
48,4,4,19,19,16,0,no,yes,M,no,yes,1
49,2,2,15,15,15,0,yes,no,M,yes,no,1
50,2,2,7,7,15,1,yes,yes,F,no,yes,0
51,2,2,12,13,16,0,yes,yes,F,yes,no,1
52,2,2,11,13,15,0,yes,yes,F,yes,no,1
53,1,6,11,11,15,1,no,no,M,no,no,1
54,1,0,8,10,15,0,yes,yes,F,yes,no,1
55,1,6,10,13,15,0,no,yes,F,yes,no,1
56,2,8,8,9,16,0,no,yes,F,yes,yes,1
57,2,0,14,15,15,0,yes,yes,F,yes,yes,1
58,2,4,14,15,15,0,yes,no,M,no,yes,1
59,2,2,9,10,15,0,yes,yes,M,no,yes,0
60,2,2,15,16,16,0,yes,yes,F,no,no,1
61,2,6,10,11,16,0,yes,no,F,no,yes,1
62,1,6,10,8,16,0,yes,yes,F,no,yes,1
63,2,4,8,10,16,0,no,yes,F,no,yes,0
64,3,2,10,9,16,0,yes,yes,F,yes,yes,0
65,2,0,10,10,15,0,no,yes,F,no,yes,1
66,2,2,16,15,16,0,yes,yes,F,no,yes,1
67,4,4,13,13,15,0,yes,yes,M,no,yes,1
68,4,4,7,7,16,0,yes,yes,F,yes,no,0
69,2,2,8,9,15,0,yes,yes,F,yes,no,0
70,4,12,16,16,15,0,yes,yes,F,no,no,1
71,4,0,13,15,16,0,yes,yes,M,yes,no,1
72,4,0,10,10,15,0,no,yes,M,no,no,1
73,2,2,8,6,15,2,yes,yes,F,no,no,0
74,1,2,12,12,16,0,no,no,M,no,yes,1
75,2,54,11,12,16,0,yes,yes,F,yes,yes,1
76,2,6,9,9,15,0,yes,yes,M,yes,yes,1
77,4,8,11,11,15,0,no,yes,M,no,yes,1
78,4,0,11,11,16,0,no,yes,F,yes,no,1
79,1,2,8,8,17,3,yes,yes,M,no,yes,1
80,2,12,5,5,16,0,yes,yes,F,no,no,0
81,1,2,10,12,15,0,yes,yes,M,yes,yes,1
82,3,4,11,10,15,0,no,yes,M,yes,no,1
83,2,10,7,6,15,0,yes,yes,F,yes,no,0
84,2,4,15,15,15,0,no,yes,M,yes,yes,1
85,2,2,9,10,15,0,yes,yes,F,no,yes,1
86,2,6,7,9,15,2,no,yes,F,yes,no,0
87,2,4,8,7,16,0,yes,no,F,no,no,0
88,3,4,13,14,15,0,yes,yes,F,no,yes,1
89,2,12,11,10,16,1,no,yes,M,yes,yes,1
90,2,18,8,6,16,0,yes,no,M,no,no,0
91,3,0,7,7,16,0,yes,yes,F,yes,no,0
92,1,4,16,17,15,0,no,yes,F,yes,yes,1
93,2,4,7,6,16,0,yes,no,F,no,no,0
94,2,0,11,10,16,0,yes,yes,F,yes,yes,1
95,4,6,11,13,15,0,yes,yes,M,no,yes,1
96,4,2,7,10,15,1,yes,yes,F,yes,yes,1
97,1,2,11,15,16,0,yes,yes,M,no,yes,1
98,2,2,8,9,16,0,yes,no,F,yes,no,1
99,1,6,11,14,16,0,no,yes,F,no,yes,1
100,3,0,7,9,16,0,yes,yes,F,yes,no,0
101,1,14,7,7,16,0,yes,yes,M,yes,yes,0
102,3,0,16,17,16,0,yes,yes,M,no,yes,1
103,1,4,10,13,15,0,yes,yes,M,no,yes,1
104,2,26,7,6,15,0,yes,yes,F,yes,no,0
105,2,0,16,18,15,0,yes,yes,M,yes,yes,1
106,4,10,10,11,15,0,no,no,F,no,no,1
107,4,8,7,8,15,0,yes,yes,F,yes,no,0
108,3,2,16,18,16,0,yes,yes,M,no,yes,1
109,4,6,10,13,15,0,yes,yes,M,yes,yes,1
110,3,4,14,15,16,0,yes,yes,F,yes,yes,1
111,1,6,18,19,15,0,no,yes,M,no,yes,1
112,3,0,7,10,16,1,yes,yes,F,no,yes,1
113,2,6,10,13,16,1,no,yes,F,no,yes,1
114,1,10,18,19,15,0,no,yes,M,no,no,1
115,2,8,9,9,15,0,no,yes,M,no,yes,0
116,2,2,15,15,16,0,yes,yes,M,no,yes,1
117,2,2,11,13,15,0,yes,no,M,no,yes,1
118,1,0,13,14,16,0,no,yes,M,no,yes,1
119,2,20,9,7,17,1,yes,yes,M,no,yes,0
120,1,6,14,13,15,0,no,yes,M,no,no,1
121,2,2,16,15,15,0,no,yes,F,no,no,1
122,4,6,16,14,15,0,yes,yes,M,yes,yes,1
123,2,2,13,13,16,0,yes,yes,F,yes,yes,1
124,1,18,14,11,16,0,yes,yes,M,no,yes,1
125,2,0,8,7,16,0,no,yes,F,yes,no,0
126,1,0,13,13,15,0,no,yes,M,no,no,1
127,2,0,7,10,15,0,no,yes,F,no,yes,1
128,2,2,7,8,19,3,yes,no,F,no,no,0
129,1,0,7,4,18,2,yes,yes,M,no,yes,0
130,1,8,18,18,16,0,no,yes,M,yes,yes,1
131,3,0,12,0,15,2,yes,yes,F,no,no,0
132,1,0,8,0,15,0,yes,yes,F,no,yes,0
133,1,12,10,13,17,0,yes,yes,F,no,no,1
134,1,16,12,11,16,0,no,yes,F,no,no,1
135,2,0,9,0,15,0,yes,no,M,no,no,0
136,3,0,11,0,15,0,yes,yes,F,no,yes,0
